transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
C,12,A8440,Pterophylla sylvicola,A,A,A,7,3.5,0.3848451,4.276056667,7.6,3.8,0.453645979,5.04051088,8,4,0.502654825,5.585053606
D,12,A8561,Pterophylla sylvicola,A,A,D,8.1,4.05,0.515299735,5.725552611,7.9,3.95,0.490166994,5.446299931,,0,0,0
C,12,A8697,Pterophylla sylvicola,,A,A,,0,0,0,14.5,7.25,1.651299639,18.34777376,14.9,7.45,1.743662463,19.37402736
C,12,A8732,Pterophylla sylvicola,,A,A,,0,0,0,5.4,2.7,0.229022104,2.544690049,5.8,2.9,0.264207942,2.935643802
D,12,,Pterophylla sylvicola,A,A,A,20.8,10.4,3.397946614,37.75496238,23.5,11.75,4.337361357,48.19290397,22.5,11.25,3.976078202,44.17864669
D,13,A8079,Pterophylla sylvicola,A,A,A,5.4,2.7,0.229022104,2.544690049,6.4,3.2,0.321699088,3.574434308,6.5,3.25,0.331830724,3.687008045
D,13,A8656,Pterophylla sylvicola,A,A,A,12.1,6.05,1.149901451,12.77668279,14.6,7.3,1.674154725,18.60171917,15.1,7.55,1.790786352,19.89762614
E,13,A8704,Pterophylla sylvicola,,,A,,0,0,0,,0,0,0,9.1,4.55,0.650388219,7.226535768
C,13,A8730,Pterophylla sylvicola,A,A,A,7.5,3.75,0.441786467,4.908738521,8.4,4.2,0.554176944,6.157521601,7.9,3.95,0.490166994,5.446299931
D,14,A8428,Pterophylla sylvicola,A,A,A,15.5,7.75,1.886919088,20.96576764,17,8.5,2.269800692,25.22000769,16.5,8.25,2.1382465,23.75829444
C,14,A8556,Pterophylla sylvicola,A,A,A,9.3,4.65,0.679290872,7.54767635,9.6,4.8,0.723822947,8.042477193,9.7,4.85,0.738981132,8.210901466
E,14,A8665,Pterophylla sylvicola,,A,A,,0,0,0,5.6,2.8,0.246300864,2.736676267,5.1,2.55,0.204282062,2.269800692
C,14,A8706,Pterophylla sylvicola,,A,A,,0,0,0,10.2,5.1,0.817128249,9.079202769,11,5.5,0.950331778,10.55924197
C,14,A8736,Pterophylla sylvicola,A,A,A,8.8,4.4,0.608212338,6.757914864,9.4,4.7,0.693977817,7.710864635,9.9,4.95,0.76976874,8.552985999
C,15,,Pterophylla sylvicola,,A,A,,0,0,0,13.3,6.65,1.389290811,15.43656457,13.8,6.9,1.495712262,16.61902514
C,15,A8550?,Pterophylla sylvicola,,A,A,,0,0,0,11.8,5.9,1.093588403,12.15098225,12,6,1.130973355,12.56637061
D,15,A8657,Pterophylla sylvicola,A,A,A,6.9,3.45,0.373928066,4.154756284,9.2,4.6,0.664761005,7.386233394,9.2,4.6,0.664761005,7.386233394
C,15,,Pterophylla sylvicola,A,A,A,13.6,6.8,1.452672443,16.14080492,16.7,8.35,2.190396938,24.33774375,15.2,7.6,1.814583917,20.16204352
